InvoiceNo,CustomerID,TotalPrice
574301,12544,372.7
557305,13568,192.85000000000002
543008,13824,442.88
549735,13824,659.30000000000007
554032,13824,130.8
561387,13824,196.85999999999999
574868,13824,269.1
574827,14080,45.599999999999994
546015,14336,534.42
551859,14336,230.02999999999997
554665,14336,349.94
578187,14336,500.52000000000004
569943,14592,263.95999999999992
571241,14592,145.20999999999998
574573,14592,161.29
545419,15104,374.64
554917,15104,652.79999999999984
573418,15360,427.92999999999995
578781,15872,358.82999999999959
578782,15872,2.1
545411,16128,388.30000000000007
560538,16128,306.4
568070,16128,717.36000000000013
574102,16128,278.52000000000004
577854,16128,189.64000000000001
547098,16384,409.1
566236,16384,175.40000000000003
547233,17152,315.9
554982,17152,1155.6
554984,17152,218.0
558440,17408,32.65
552835,17664,326.19000000000005
577689,17664,278.45000000000005
536412,17920,514.40999999999974
537435,17920,221.5
542590,17920,159.85
550305,17920,417.93
554337,17920,259.9
558700,17920,304.60999999999996
560937,17920,218.56
561381,17920,110.78
564647,17920,199.28
567804,17920,227.00000000000006
571546,17920,251.88000000000002
574721,17920,324.64000000000004
575943,17920,255.54000000000005
578818,17920,136.04000000000002
579089,17920,111.11000000000001
539281,18176,476.34999999999991
547790,12545,628.15
568179,12545,372.24
539993,13313,307.3
552288,13313,302.44000000000005
560915,13313,308.6
574393,13313,324.29999999999995
577099,13313,312.68000000000006
537595,13569,118.32000000000001
578017,13569,255.42999999999995
537219,14081,423.51999999999987
543631,14081,510.99999999999977
554603,14593,219.76999999999998
554617,14593,119.82
577297,14593,278.40000000000003
536460,14849,295.53999999999996
536463,14849,17.4
536466,14849,42.9
539142,14849,164.6
539143,14849,46.45
542087,14849,459.84
543987,14849,383.6
543988,14849,17.700000000000003
548916,14849,422.34000000000009
552614,14849,562.54000000000008
557117,14849,620.58
557118,14849,364.15999999999997
560918,14849,813.88999999999987
563110,14849,509.08
563112,14849,304.63
565610,14849,357.33999999999992
565611,14849,401.93999999999994
569766,14849,393.57
569767,14849,391.78
574239,14849,467.8599999999999
574241,14849,10.08
574245,14849,34.8
574246,14849,45.0
577173,14849,579.8599999999999
577175,14849,223.05999999999997
561542,15105,532.9799999999999
566674,15105,614.87999999999988
566675,15105,28.68
569369,15105,541.02999999999986
576392,15105,332.46
577796,15105,233.90000000000003
577797,15105,15.0
538527,15361,418.91999999999996
537792,16385,148.23000000000002
558878,16385,126.62000000000003
570412,16385,281.04
564637,16641,231.1
542601,16897,213.03
543813,16897,76.75
576568,17153,213.78
549026,17409,260.55
555945,17409,511.3
546993,17921,280.56999999999988
558631,17921,161.89000000000004
560104,17921,159.3
569968,17921,224.76
547986,18177,169.05
550803,18177,225.05000000000004
550824,18177,8.25
553908,18177,311.30000000000007
558927,18177,324.17000000000007
575132,18177,303.6
567968,12546,760.20000000000016
572442,12546,401.3
555589,12802,427.58
559636,13058,47.550000000000004
570832,13058,90.15
576539,13058,133.7
568394,13314,499.62000000000023
570123,13314,89.85
549561,13570,239.48999999999998
557033,13826,189.49999999999997
538199,14082,182.25
554935,14338,579.97
558721,14338,8.25
536538,14594,254.99999999999997
542812,14850,325.74999999999994
546638,15106,410.7
